"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","51.61","51.74","51.05","51.42","-1.46","-1.59","80,238,296"
"2019-09-04T07:00:00.000Z","52.10","52.37","51.83","52.30","1.70","1.56","76,867,280"
"2019-09-05T07:00:00.000Z","53.00","53.49","52.88","53.32","1.96","1.82","95,787,936"
"2019-09-06T07:00:00.000Z","53.51","53.60","53.13","53.31","-0.0094","-0.1439","77,449,176"
"2019-09-09T07:00:00.000Z","53.71","54.11","52.77","53.54","0.4267","0.2921","109,237,604"
"2019-09-10T07:00:00.000Z","53.47","54.20","52.93","54.17","1.18","1.05","127,111,724"
"2019-09-11T07:00:00.000Z","54.52","55.93","54.43","55.90","3.18","3.04","177,158,584"
"2019-09-12T07:00:00.000Z","56.20","56.60","55.72","55.77","-0.2258","-0.3603","128,906,676"
"2019-09-13T07:00:00.000Z","55.00","55.20","54.26","54.69","-1.94","-2.08","159,053,184"
"2019-09-16T07:00:00.000Z","54.43","55.03","54.39","54.98","0.5257","0.3912","84,632,564"
"2019-09-17T07:00:00.000Z","54.99","55.20","54.78","55.17","0.3638","0.2292","73,545,872"
"2019-09-18T07:00:00.000Z","55.27","55.71","54.86","55.69","0.9379","0.8034","102,572,372"
"2019-09-19T07:00:00.000Z","55.50","55.94","55.09","55.24","-0.8125","-0.9471","88,751,504"
"2019-09-20T07:00:00.000Z","55.34","55.64","54.37","54.43","-1.46","-1.60","231,908,376"
"2019-09-23T07:00:00.000Z","54.74","54.96","54.41","54.68","0.4547","0.3201","77,678,592"
"2019-09-24T07:00:00.000Z","55.26","55.62","54.30","54.42","-0.4755","-0.6101","125,737,468"
"2019-09-25T07:00:00.000Z","54.64","55.38","54.28","55.26","1.54","1.40","89,924,024"
"2019-09-26T07:00:00.000Z","55.00","55.23","54.71","54.97","-0.5158","-0.6503","76,353,248"
"2019-09-27T07:00:00.000Z","55.13","55.24","54.32","54.70","-0.4866","-0.6212","101,445,140"
"2019-09-30T07:00:00.000Z","55.23","56.15","55.20","55.99","2.35","2.22","105,274,332"
"2019-10-01T07:00:00.000Z","56.27","57.05","56.05","56.15","0.2768","0.1423","144,748,652"
"2019-10-02T07:00:00.000Z","55.77","55.90","54.48","54.74","-2.51","-2.64","143,069,028"
"2019-10-03T07:00:00.000Z","54.61","55.24","53.78","55.20","0.8495","0.7149","121,410,744"
"2019-10-04T07:00:00.000Z","56.41","56.87","55.97","56.75","2.80","2.67","139,022,212"
"2019-10-07T07:00:00.000Z","56.57","57.48","56.46","56.77","0.0220","-0.1125","123,557,076"
"2019-10-08T07:00:00.000Z","56.45","57.02","56.08","56.10","-1.17","-1.31","117,130,800"
"2019-10-09T07:00:00.000Z","56.76","56.95","56.41","56.76","1.17","1.04","76,117,696"
"2019-10-10T07:00:00.000Z","56.98","57.61","56.83","57.52","1.35","1.21","115,851,936"
"2019-10-11T07:00:00.000Z","58.24","59.41","58.08","59.05","2.66","2.53","167,960,840"
"2019-10-14T07:00:00.000Z","58.73","59.53","58.67","58.97","-0.1439","-0.2785","97,653,936"
"2019-10-15T07:00:00.000Z","59.10","59.41","58.72","58.83","-0.2332","-0.3677","92,161,932"
"2019-10-16T07:00:00.000Z","58.34","58.81","58.30","58.59","-0.4037","-0.5383","77,146,776"
"2019-10-17T07:00:00.000Z","58.77","59.04","58.38","58.82","0.3883","0.2537","69,091,588"
"2019-10-18T07:00:00.000Z","58.65","59.40","58.57","59.10","0.4803","0.3457","97,508,664"
"2019-10-21T07:00:00.000Z","59.38","60.25","59.33","60.13","1.73","1.60","89,469,932"
"2019-10-22T07:00:00.000Z","60.29","60.55","59.91","59.99","-0.2287","-0.3632","90,736,004"
"2019-10-23T07:00:00.000Z","60.52","60.81","60.30","60.80","1.34","1.21","79,730,180"
"2019-10-24T07:00:00.000Z","61.13","61.20","60.45","60.90","0.1645","0.0299","71,665,020"
"2019-10-25T07:00:00.000Z","60.79","61.68","60.72","61.65","1.23","1.10","73,477,184"
"2019-10-28T07:00:00.000Z","61.85","62.31","61.68","62.26","1.00","0.8671","96,572,964"
"2019-10-29T07:00:00.000Z","62.24","62.44","60.64","60.82","-2.31","-2.45","142,839,468"
"2019-10-30T07:00:00.000Z","61.19","61.33","60.30","60.81","-0.0123","-0.1469","124,522,088"
"2019-10-31T07:00:00.000Z","61.81","62.29","59.31","62.19","2.26","2.13","139,162,080"
"2019-11-01T07:00:00.000Z","62.38","63.98","62.29","63.95","2.84","2.70","151,125,336"
"2019-11-04T08:00:00.000Z","64.33","64.46","63.84","64.38","0.6567","0.5221","103,271,808"
"2019-11-05T08:00:00.000Z","64.26","64.55","64.08","64.28","-0.1437","-0.2783","79,897,708"
"2019-11-06T08:00:00.000Z","64.19","64.37","63.84","64.31","0.0428","-0.0918","75,864,496"
"2019-11-07T08:00:00.000Z","64.69","65.09","64.53","64.86","0.8513","0.7168","94,940,332"
"2019-11-08T08:00:00.000Z","64.67","65.11","64.21","65.03","0.2737","0.1391","70,081,980"
"2019-11-11T08:00:00.000Z","64.58","65.62","64.57","65.55","0.7919","0.6573","82,029,836"
"2019-11-12T08:00:00.000Z","65.39","65.70","65.23","65.49","-0.0915","-0.2261","87,388,904"
"2019-11-13T08:00:00.000Z","65.28","66.19","65.27","66.12","0.9582","0.8236","103,270,372"
"2019-11-14T08:00:00.000Z","65.94","66.22","65.53","65.66","-0.6919","-0.8265","89,582,224"
"2019-11-15T08:00:00.000Z","65.92","66.44","65.75","66.44","1.19","1.05","100,374,664"
"2019-11-18T08:00:00.000Z","66.45","66.86","66.06","66.78","0.5042","0.3697","86,803,588"
"2019-11-19T08:00:00.000Z","66.97","67.00","66.35","66.57","-0.3033","-0.4378","76,278,388"
"2019-11-20T08:00:00.000Z","66.39","66.52","65.10","65.80","-1.16","-1.30","106,439,676"
"2019-11-21T08:00:00.000Z","65.92","66.00","65.30","65.50","-0.4483","-0.5829","121,395,112"
"2019-11-22T08:00:00.000Z","65.65","65.80","65.21","65.44","-0.0878","-0.2223","65,325,052"
"2019-11-25T08:00:00.000Z","65.68","66.61","65.63","66.59","1.75","1.62","84,118,068"
"2019-11-26T08:00:00.000Z","66.73","66.79","65.63","66.07","-0.7809","-0.9154","105,339,528"
"2019-11-27T08:00:00.000Z","66.39","67.00","66.33","66.96","1.34","1.21","65,544,488"
"2019-11-29T08:00:00.000Z","66.65","67.00","66.47","66.81","-0.2203","-0.3548","46,617,452"
"2019-12-02T08:00:00.000Z","66.82","67.06","65.86","66.04","-1.16","-1.29","94,774,200"
"2019-12-03T08:00:00.000Z","64.58","64.88","64.07","64.86","-1.78","-1.92","117,509,072"
"2019-12-04T08:00:00.000Z","65.27","65.83","65.17","65.44","0.8826","0.7481","67,241,552"
"2019-12-05T08:00:00.000Z","65.95","66.47","65.68","66.39","1.47","1.33","74,645,372"
"2019-12-06T08:00:00.000Z","66.87","67.75","66.83","67.68","1.93","1.80","106,189,972"
"2019-12-09T08:00:00.000Z","67.50","67.70","66.23","66.73","-1.40","-1.53","128,730,580"
"2019-12-10T08:00:00.000Z","67.15","67.52","66.47","67.12","0.5844","0.4499","90,529,532"
"2019-12-11T08:00:00.000Z","67.20","67.78","67.13","67.69","0.8529","0.7184","78,893,564"
"2019-12-12T08:00:00.000Z","66.94","68.14","66.83","67.86","0.2548","0.1203","137,748,168"
"2019-12-13T08:00:00.000Z","67.86","68.83","67.73","68.79","1.36","1.22","133,731,224"
"2019-12-16T08:00:00.000Z","69.25","70.20","69.25","69.97","1.71","1.58","128,324,420"
"2019-12-17T08:00:00.000Z","69.89","70.44","69.70","70.10","0.1965","0.0620","114,303,192"
"2019-12-18T08:00:00.000Z","69.95","70.47","69.78","69.94","-0.2389","-0.3735","116,098,748"
"2019-12-19T08:00:00.000Z","69.88","70.30","69.74","70.00","0.1001","-0.0345","98,507,788"
"2019-12-20T08:00:00.000Z","70.56","70.66","69.64","69.86","-0.2071","-0.3417","276,130,972"
"2019-12-23T08:00:00.000Z","70.13","71.06","70.09","71.00","1.63","1.50","98,711,532"
"2019-12-24T08:00:00.000Z","71.17","71.22","70.73","71.07","0.0951","-0.0395","48,478,856"
"2019-12-26T08:00:00.000Z","71.20","72.50","71.17","72.48","1.98","1.85","93,336,016"
"2019-12-27T08:00:00.000Z","72.78","73.49","72.03","72.45","-0.0379","-0.1725","146,371,744"
"2019-12-30T08:00:00.000Z","72.36","73.17","71.31","72.88","0.5935","0.4589","144,238,456"
"2019-12-31T08:00:00.000Z","72.48","73.42","72.38","73.41","0.7307","0.5961","100,990,500"
"2020-01-02T08:00:00.000Z","74.06","75.15","73.80","75.09","2.28","2.15","135,647,456"
"2020-01-03T08:00:00.000Z","74.29","75.14","74.13","74.36","-0.9722","-1.11","146,535,512"
"2020-01-06T08:00:00.000Z","73.45","74.99","73.19","74.95","0.7968","0.6623","118,578,576"
"2020-01-07T08:00:00.000Z","74.96","75.22","74.37","74.60","-0.4703","-0.6049","111,510,620"
"2020-01-08T08:00:00.000Z","74.29","76.11","74.29","75.80","1.61","1.47","132,363,784"
"2020-01-09T08:00:00.000Z","76.81","77.61","76.55","77.41","2.12","1.99","170,486,168"
