"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","88.50","90.04","88.40","89.49","0.7628","0.6836","70,937,180"
"2019-09-04T07:00:00.000Z","90.25","90.38","89.81","90.03","0.6023","0.5230","46,524,560"
"2019-09-05T07:00:00.000Z","91.10","92.10","90.78","92.04","2.23","2.15","66,503,780"
"2019-09-06T07:00:00.000Z","91.91","92.03","91.32","91.68","-0.3917","-0.4709","49,938,660"
"2019-09-09T07:00:00.000Z","92.05","92.50","91.23","91.57","-0.1178","-0.1971","59,990,300"
"2019-09-10T07:00:00.000Z","91.14","91.29","90.27","91.03","-0.5897","-0.6690","52,277,580"
"2019-09-11T07:00:00.000Z","90.61","91.67","90.45","91.15","0.1340","0.0548","48,655,340"
"2019-09-12T07:00:00.000Z","91.88","92.68","91.71","92.18","1.13","1.05","56,470,100"
"2019-09-13T07:00:00.000Z","92.10","92.31","91.76","91.97","-0.2284","-0.3076","39,426,340"
"2019-09-16T07:00:00.000Z","91.20","91.28","90.01","90.39","-1.71","-1.79","73,509,460"
"2019-09-17T07:00:00.000Z","90.35","91.20","90.20","91.13","0.8137","0.7344","40,661,160"
"2019-09-18T07:00:00.000Z","90.85","91.10","89.78","90.87","-0.2793","-0.3585","50,720,240"
"2019-09-19T07:00:00.000Z","91.05","91.63","90.89","91.08","0.2223","0.1430","41,566,700"
"2019-09-20T07:00:00.000Z","91.09","91.53","89.05","89.71","-1.50","-1.58","111,116,780"
"2019-09-23T07:00:00.000Z","88.85","89.64","88.37","89.27","-0.4938","-0.5731","62,782,840"
"2019-09-24T07:00:00.000Z","89.53","89.79","86.78","87.08","-2.45","-2.53","92,758,020"
"2019-09-25T07:00:00.000Z","87.37","88.65","86.15","88.42","1.53","1.45","70,621,960"
"2019-09-26T07:00:00.000Z","88.14","88.17","86.58","86.99","-1.61","-1.69","71,439,040"
"2019-09-27T07:00:00.000Z","87.40","87.46","85.69","86.27","-0.8271","-0.9063","78,960,580"
"2019-09-30T07:00:00.000Z","86.35","86.87","85.46","86.80","0.6062","0.5270","55,215,360"
"2019-10-01T07:00:00.000Z","87.30","87.78","86.42","86.78","-0.0150","-0.0942","63,409,200"
"2019-10-02T07:00:00.000Z","86.39","86.44","85.25","85.66","-1.29","-1.37","66,769,520"
"2019-10-03T07:00:00.000Z","85.65","86.25","84.25","86.22","0.6532","0.5739","72,487,420"
"2019-10-04T07:00:00.000Z","86.30","87.03","85.96","86.98","0.8832","0.8039","49,785,540"
"2019-10-07T07:00:00.000Z","86.58","87.39","86.19","86.63","-0.4018","-0.4811","43,751,960"
"2019-10-08T07:00:00.000Z","86.12","86.35","85.25","85.28","-1.57","-1.65","52,536,800"
