"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","59.09","59.45","58.19","58.48","-1.76","-1.86","25,922,320"
"2019-09-04T07:00:00.000Z","58.97","59.24","58.58","59.11","1.09","0.9900","21,313,320"
"2019-09-05T07:00:00.000Z","59.68","60.70","59.63","60.61","2.53","2.43","26,413,120"
"2019-09-06T07:00:00.000Z","60.46","60.65","60.16","60.32","-0.4842","-0.5819","18,971,600"
"2019-09-09T07:00:00.000Z","60.35","61.03","59.66","60.26","-0.0870","-0.1847","31,859,160"
"2019-09-10T07:00:00.000Z","59.80","60.50","59.80","60.28","0.0357","-0.0619","27,921,540"
"2019-09-11T07:00:00.000Z","60.19","61.12","60.11","61.00","1.19","1.09","23,521,320"
"2019-09-12T07:00:00.000Z","61.17","62.12","61.13","61.75","1.23","1.13","31,644,600"
"2019-09-13T07:00:00.000Z","61.61","62.05","61.35","62.00","0.4097","0.3121","23,675,240"
"2019-09-16T07:00:00.000Z","61.52","61.95","61.26","61.58","-0.6774","-0.7750","28,217,600"
"2019-09-17T07:00:00.000Z","61.58","61.75","61.17","61.49","-0.1421","-0.2397","20,944,020"
"2019-09-18T07:00:00.000Z","61.51","61.81","60.82","61.63","0.2252","0.1276","17,855,760"
"2019-09-19T07:00:00.000Z","61.62","62.22","61.62","61.94","0.4949","0.3972","16,940,040"
"2019-09-20T07:00:00.000Z","61.68","62.14","61.18","61.49","-0.7193","-0.8169","38,754,860"
"2019-09-23T07:00:00.000Z","61.33","61.98","61.19","61.73","0.3944","0.2967","23,941,380"
"2019-09-24T07:00:00.000Z","62.00","62.36","60.53","60.92","-1.33","-1.42","36,714,240"
"2019-09-25T07:00:00.000Z","60.80","62.40","60.46","62.30","2.27","2.17","27,103,240"
"2019-09-26T07:00:00.000Z","62.11","62.23","61.59","62.11","-0.2930","-0.3906","23,431,540"
"2019-09-27T07:00:00.000Z","62.14","62.25","60.76","61.30","-1.32","-1.41","34,449,620"
"2019-09-30T07:00:00.000Z","61.03","61.37","60.67","61.06","-0.3923","-0.4900","25,892,180"
"2019-10-01T07:00:00.000Z","61.12","61.64","60.28","60.30","-1.24","-1.34","25,654,700"
"2019-10-02T07:00:00.000Z","59.83","59.94","58.63","58.90","-2.33","-2.43","33,495,480"
"2019-10-03T07:00:00.000Z","59.17","59.55","58.16","59.47","0.9771","0.8795","29,388,260"
"2019-10-04T07:00:00.000Z","59.71","60.62","59.55","60.55","1.81","1.71","24,573,720"
"2019-10-07T07:00:00.000Z","60.35","60.95","60.22","60.41","-0.2238","-0.3214","17,580,400"
"2019-10-08T07:00:00.000Z","59.94","60.34","59.47","59.51","-1.50","-1.60","20,648,520"
"2019-10-09T07:00:00.000Z","60.07","60.42","59.91","60.12","1.03","0.9334","16,264,320"
"2019-10-10T07:00:00.000Z","59.93","60.78","59.89","60.47","0.5880","0.4904","13,364,880"
"2019-10-11T07:00:00.000Z","61.20","61.44","60.68","60.79","0.5159","0.4183","22,529,040"
"2019-10-14T07:00:00.000Z","60.69","61.29","60.59","60.89","0.1694","0.0718","13,678,520"
"2019-10-15T07:00:00.000Z","61.08","62.36","61.05","62.11","2.01","1.91","30,544,320"
"2019-10-16T07:00:00.000Z","62.09","62.71","61.93","62.15","0.0612","-0.0364","23,020,560"
"2019-10-17T07:00:00.000Z","62.57","63.19","62.49","62.64","0.7884","0.6908","21,279,620"
"2019-10-18T07:00:00.000Z","62.73","62.91","62.01","62.22","-0.6697","-0.7673","31,646,400"
"2019-10-21T07:00:00.000Z","62.44","62.68","62.00","62.21","-0.0104","-0.1081","20,601,700"
"2019-10-22T07:00:00.000Z","62.22","62.44","61.99","62.06","-0.2475","-0.3452","25,636,420"
"2019-10-23T07:00:00.000Z","62.01","62.90","62.01","62.88","1.32","1.23","23,525,620"
"2019-10-24T07:00:00.000Z","62.96","63.15","62.62","62.96","0.1177","0.0201","22,809,560"
"2019-10-25T07:00:00.000Z","62.60","63.40","62.46","63.22","0.4122","0.3146","27,104,960"
"2019-10-28T07:00:00.000Z","63.75","64.96","63.62","64.45","1.95","1.85","65,428,220"
"2019-10-29T07:00:00.000Z","63.80","64.04","62.78","63.03","-2.20","-2.29","52,654,300"
"2019-10-30T07:00:00.000Z","62.76","63.40","62.53","63.03","0.0032","-0.0945","29,203,860"
"2019-10-31T07:00:00.000Z","63.00","63.33","62.47","62.94","-0.1507","-0.2483","31,903,080"
"2019-11-01T07:00:00.000Z","63.29","63.65","62.99","63.61","1.07","0.9709","28,812,140"
"2019-11-04T08:00:00.000Z","63.81","64.63","63.81","64.48","1.36","1.27","30,632,440"
"2019-11-05T08:00:00.000Z","64.56","64.86","64.47","64.57","0.1419","0.0443","25,148,540"
"2019-11-06T08:00:00.000Z","64.50","64.65","64.11","64.55","-0.0333","-0.1309","24,625,300"
"2019-11-07T08:00:00.000Z","64.71","66.13","64.69","65.35","1.23","1.14","45,140,100"
"2019-11-08T08:00:00.000Z","65.08","65.86","65.08","65.45","0.1576","0.0600","30,437,840"
"2019-11-11T08:00:00.000Z","65.20","65.25","64.79","64.91","-0.8189","-0.9166","17,237,200"
"2019-11-12T08:00:00.000Z","64.93","65.47","64.71","64.86","-0.0824","-0.1800","28,886,840"
"2019-11-13T08:00:00.000Z","64.66","65.13","64.61","64.81","-0.0794","-0.1770","18,721,700"
"2019-11-14T08:00:00.000Z","64.75","65.79","64.70","65.46","1.00","0.9030","29,000,780"
"2019-11-15T08:00:00.000Z","65.75","66.68","65.59","66.68","1.86","1.77","39,299,100"
"2019-11-18T08:00:00.000Z","66.62","66.70","65.81","65.99","-1.03","-1.12","27,987,480"
"2019-11-19T08:00:00.000Z","66.33","66.33","65.59","65.63","-0.5493","-0.6469","21,872,580"
"2019-11-20T08:00:00.000Z","65.57","65.66","64.46","65.09","-0.8175","-0.9151","28,917,400"
"2019-11-21T08:00:00.000Z","64.96","65.56","64.54","65.01","-0.1321","-0.2297","25,546,760"
"2019-11-22T08:00:00.000Z","65.15","65.34","64.47","64.68","-0.4976","-0.5953","27,778,240"
"2019-11-25T08:00:00.000Z","64.81","65.52","64.78","65.28","0.9253","0.8276","23,593,160"
"2019-11-26T08:00:00.000Z","65.50","65.70","65.20","65.65","0.5637","0.4661","21,941,780"
"2019-11-27T08:00:00.000Z","65.77","65.88","65.47","65.61","-0.0663","-0.1639","18,810,720"
"2019-11-29T08:00:00.000Z","65.33","65.50","65.16","65.20","-0.6127","-0.7104","12,801,380"
"2019-12-02T08:00:00.000Z","65.13","65.27","64.02","64.44","-1.17","-1.27","26,577,780"
"2019-12-03T08:00:00.000Z","63.93","64.86","63.85","64.74","0.4562","0.3586","29,600,520"
"2019-12-04T08:00:00.000Z","65.31","66.21","65.15","65.95","1.87","1.77","35,527,840"
"2019-12-05T08:00:00.000Z","66.35","66.40","65.72","66.35","0.6081","0.5104","24,412,620"
"2019-12-06T08:00:00.000Z","66.64","67.12","66.56","66.97","0.9367","0.8391","32,974,580"
"2019-12-09T08:00:00.000Z","66.94","67.88","66.80","67.15","0.2688","0.1712","31,137,780"
"2019-12-10T08:00:00.000Z","67.00","67.40","66.70","67.14","-0.0074","-0.1051","17,608,600"
"2019-12-11T08:00:00.000Z","67.42","67.49","67.06","67.21","0.1013","0.0036","20,486,160"
"2019-12-12T08:00:00.000Z","67.16","67.73","66.91","67.42","0.3154","0.2178","29,129,320"
"2019-12-13T08:00:00.000Z","67.39","67.57","67.08","67.34","-0.1201","-0.2178","33,173,680"
"2019-12-16T08:00:00.000Z","67.75","68.18","67.53","68.03","1.03","0.9292","28,129,140"
"2019-12-17T08:00:00.000Z","68.12","68.22","67.54","67.74","-0.4270","-0.5246","32,970,980"
"2019-12-18T08:00:00.000Z","67.85","67.97","67.52","67.60","-0.2199","-0.3176","23,334,660"
"2019-12-19T08:00:00.000Z","67.60","67.88","67.44","67.82","0.3351","0.2375","30,421,640"
"2019-12-20T08:00:00.000Z","68.16","68.20","67.54","67.56","-0.3848","-0.4825","50,276,980"
"2019-12-23T08:00:00.000Z","67.94","68.09","67.40","67.53","-0.0437","-0.1413","19,939,340"
"2019-12-24T08:00:00.000Z","67.51","67.60","67.21","67.22","-0.4590","-0.5567","13,468,200"
"2019-12-26T08:00:00.000Z","67.33","68.16","67.28","68.12","1.34","1.24","23,676,000"
"2019-12-27T08:00:00.000Z","68.20","68.35","67.65","67.73","-0.5747","-0.6723","23,217,460"
"2019-12-30T08:00:00.000Z","67.84","67.85","66.89","66.99","-1.10","-1.20","20,011,840"
