"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","184.00","185.67","182.11","182.39","-1.77","-1.89","9,792,187"
"2019-09-04T07:00:00.000Z","184.65","187.75","183.89","187.14","2.60","2.48","11,314,571"
"2019-09-05T07:00:00.000Z","188.53","191.36","187.94","190.90","2.01","1.89","13,896,621"
"2019-09-06T07:00:00.000Z","190.21","190.21","186.35","187.49","-1.79","-1.91","15,226,820"
"2019-09-09T07:00:00.000Z","187.73","188.98","185.85","188.76","0.6774","0.5569","14,722,402"
"2019-09-10T07:00:00.000Z","187.44","188.10","184.55","186.17","-1.37","-1.49","15,455,867"
"2019-09-11T07:00:00.000Z","186.46","189.44","186.08","188.49","1.25","1.13","11,761,660"
"2019-09-12T07:00:00.000Z","189.86","190.93","187.23","187.47","-0.5411","-0.6616","11,419,775"
"2019-09-13T07:00:00.000Z","187.32","187.97","186.54","187.19","-0.1494","-0.2699","11,441,116"
"2019-09-16T07:00:00.000Z","186.93","187.79","185.76","186.22","-0.5182","-0.6387","8,444,844"
"2019-09-17T07:00:00.000Z","186.66","188.32","185.54","188.08","0.9988","0.8783","9,751,570"
"2019-09-18T07:00:00.000Z","188.09","189.08","186.01","188.14","0.0319","-0.0886","9,945,798"
"2019-09-19T07:00:00.000Z","188.66","191.10","188.15","190.14","1.06","0.9425","10,474,685"
"2019-09-20T07:00:00.000Z","190.66","193.10","188.12","189.93","-0.1104","-0.2309","20,359,878"
"2019-09-23T07:00:00.000Z","189.34","190.10","185.21","186.82","-1.64","-1.76","14,370,089"
"2019-09-24T07:00:00.000Z","187.98","188.04","180.39","181.28","-2.97","-3.09","18,775,666"
"2019-09-25T07:00:00.000Z","181.45","183.42","177.87","182.80","0.8385","0.7180","18,339,960"
"2019-09-26T07:00:00.000Z","181.33","181.40","177.67","180.11","-1.47","-1.59","16,280,691"
"2019-09-27T07:00:00.000Z","180.49","180.75","175.66","177.10","-1.67","-1.79","14,663,575"
"2019-09-30T07:00:00.000Z","177.87","178.67","176.85","178.08","0.5534","0.4329","11,071,425"
"2019-10-01T07:00:00.000Z","179.15","179.84","174.88","175.81","-1.27","-1.40","17,261,556"
"2019-10-02T07:00:00.000Z","174.84","176.53","173.09","174.60","-0.6882","-0.8087","16,374,148"
"2019-10-03T07:00:00.000Z","175.57","179.84","173.63","179.38","2.74","2.62","16,789,319"
"2019-10-04T07:00:00.000Z","179.55","180.98","178.10","180.45","0.5965","0.4760","10,476,395"
"2019-10-07T07:00:00.000Z","180.00","181.18","178.09","179.68","-0.4267","-0.5472","9,359,793"
"2019-10-08T07:00:00.000Z","178.26","180.37","177.72","177.75","-1.07","-1.19","10,084,896"
"2019-10-09T07:00:00.000Z","179.16","180.72","177.94","179.85","1.18","1.06","7,648,874"
"2019-10-10T07:00:00.000Z","180.32","181.61","179.17","180.03","0.1001","-0.0204","8,980,978"
"2019-10-11T07:00:00.000Z","182.15","186.49","182.14","184.19","2.31","2.19","14,998,754"
"2019-10-14T07:00:00.000Z","184.20","184.62","182.57","183.28","-0.4941","-0.6146","7,203,665"
"2019-10-15T07:00:00.000Z","183.80","190.38","183.66","188.89","3.06","2.94","15,143,119"
"2019-10-16T07:00:00.000Z","188.32","189.70","186.90","189.55","0.3494","0.2289","10,560,343"
"2019-10-17T07:00:00.000Z","190.30","190.84","188.76","190.39","0.4432","0.3227","9,761,548"
"2019-10-18T07:00:00.000Z","190.23","191.49","183.92","185.85","-2.38","-2.51","16,882,862"
"2019-10-21T07:00:00.000Z","187.04","189.91","186.75","189.76","2.10","1.98","8,580,744"
"2019-10-22T07:00:00.000Z","190.00","190.65","181.50","182.34","-3.91","-4.03","19,854,192"
"2019-10-23T07:00:00.000Z","182.01","186.38","182.00","186.15","2.09","1.97","12,370,819"
"2019-10-24T07:00:00.000Z","184.62","186.73","182.80","186.38","0.1236","0.0031","11,505,406"
"2019-10-25T07:00:00.000Z","185.83","189.00","185.09","187.89","0.8102","0.6897","8,061,240"
"2019-10-28T07:00:00.000Z","187.20","189.53","185.08","189.40","0.8037","0.6832","13,657,866"
"2019-10-29T07:00:00.000Z","191.69","192.53","188.47","189.31","-0.0475","-0.1680","13,574,874"
"2019-10-30T07:00:00.000Z","189.56","190.45","185.98","188.25","-0.5599","-0.6804","28,734,559"
"2019-10-31T07:00:00.000Z","196.70","198.09","188.25","191.65","1.81","1.69","42,286,529"
"2019-11-01T07:00:00.000Z","192.85","194.11","189.91","193.62","1.03","0.9074","21,711,829"
"2019-11-04T08:00:00.000Z","194.55","197.37","193.81","194.72","0.5681","0.4476","16,371,292"
"2019-11-05T08:00:00.000Z","195.37","195.75","193.60","194.32","-0.2054","-0.3259","9,941,954"
"2019-11-06T08:00:00.000Z","194.03","194.37","191.35","191.55","-1.43","-1.55","10,973,019"
"2019-11-07T08:00:00.000Z","191.91","193.44","189.47","190.42","-0.5899","-0.7104","13,472,998"
"2019-11-08T08:00:00.000Z","190.00","192.34","189.70","190.84","0.2206","0.1001","10,764,784"
"2019-11-11T08:00:00.000Z","189.93","190.08","188.54","189.61","-0.6445","-0.7650","8,637,768"
"2019-11-12T08:00:00.000Z","190.00","195.06","189.74","194.47","2.56","2.44","17,615,454"
"2019-11-13T08:00:00.000Z","194.70","195.70","192.74","193.19","-0.6582","-0.7787","11,009,800"
"2019-11-14T08:00:00.000Z","192.93","194.03","191.45","193.15","-0.0207","-0.1412","9,059,897"
"2019-11-15T08:00:00.000Z","194.26","195.30","193.38","195.10","1.01","0.8891","11,530,232"
"2019-11-18T08:00:00.000Z","194.56","198.63","193.05","197.40","1.18","1.06","16,176,107"
"2019-11-19T08:00:00.000Z","197.40","200.00","196.86","199.32","0.9726","0.8521","19,070,291"
"2019-11-20T08:00:00.000Z","198.58","199.59","195.43","197.51","-0.9081","-1.03","12,370,240"
"2019-11-21T08:00:00.000Z","197.42","199.09","196.86","197.93","0.2126","0.0921","12,130,985"
"2019-11-22T08:00:00.000Z","198.38","199.30","197.62","198.82","0.4497","0.3292","9,959,817"
"2019-11-25T08:00:00.000Z","199.51","200.97","199.25","199.79","0.4879","0.3674","15,286,442"
"2019-11-26T08:00:00.000Z","200.00","200.15","198.04","198.97","-0.4104","-0.5309","11,748,664"
"2019-11-27T08:00:00.000Z","199.90","203.14","199.42","202.00","1.52","1.40","12,760,568"
"2019-11-29T08:00:00.000Z","201.60","203.80","201.21","201.64","-0.1782","-0.2987","7,985,231"
"2019-12-02T08:00:00.000Z","202.13","202.18","198.05","199.70","-0.9621","-1.08","11,542,020"
"2019-12-03T08:00:00.000Z","197.60","198.93","195.08","198.82","-0.4407","-0.5612","13,014,170"
"2019-12-04T08:00:00.000Z","200.00","200.03","198.05","198.71","-0.0553","-0.1758","8,459,939"
"2019-12-05T08:00:00.000Z","199.86","201.29","198.21","199.36","0.3271","0.2066","9,755,350"
"2019-12-06T08:00:00.000Z","200.50","201.57","200.06","201.05","0.8477","0.7272","12,279,525"
"2019-12-09T08:00:00.000Z","200.65","203.14","200.21","201.34","0.1442","0.0237","12,013,218"
"2019-12-10T08:00:00.000Z","201.66","202.05","200.15","200.87","-0.2334","-0.3539","9,485,568"
"2019-12-11T08:00:00.000Z","200.28","202.63","200.28","202.26","0.6920","0.5715","8,041,827"
"2019-12-12T08:00:00.000Z","202.35","203.66","194.10","196.75","-2.72","-2.84","23,766,986"
"2019-12-13T08:00:00.000Z","196.40","196.80","193.17","194.11","-1.34","-1.46","18,806,020"
"2019-12-16T08:00:00.000Z","195.27","199.12","194.81","197.92","1.96","1.84","14,922,733"
"2019-12-17T08:00:00.000Z","198.84","199.00","196.13","198.39","0.2375","0.1170","10,177,605"
"2019-12-18T08:00:00.000Z","200.09","204.30","200.09","202.50","2.07","1.95","23,284,746"
"2019-12-19T08:00:00.000Z","202.78","206.30","202.51","206.06","1.76","1.64","16,808,184"
"2019-12-20T08:00:00.000Z","207.48","207.71","203.43","206.30","0.1165","-0.0040","27,315,226"
"2019-12-23T08:00:00.000Z","206.70","208.59","205.68","206.18","-0.0582","-0.1787","13,353,194"
"2019-12-24T08:00:00.000Z","206.30","206.79","205.00","205.12","-0.5141","-0.6346","6,046,273"
"2019-12-26T08:00:00.000Z","205.57","207.82","205.31","207.79","1.30","1.18","9,368,273"
