"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","136.61","137.20","135.70","136.04","-1.32","-1.42","18,880,773"
"2019-09-04T07:00:00.000Z","137.30","137.69","136.48","137.63","1.17","1.06","18,015,310"
"2019-09-05T07:00:00.000Z","139.11","140.38","138.76","140.05","1.76","1.65","26,119,520"
"2019-09-06T07:00:00.000Z","140.03","140.18","138.20","139.10","-0.6783","-0.7829","20,824,504"
"2019-09-09T07:00:00.000Z","139.59","139.75","136.46","137.52","-1.14","-1.24","25,773,932"
"2019-09-10T07:00:00.000Z","136.80","136.89","134.51","136.08","-1.05","-1.15","28,903,378"
"2019-09-11T07:00:00.000Z","135.91","136.27","135.09","136.12","0.0294","-0.0752","24,726,117"
"2019-09-12T07:00:00.000Z","137.85","138.42","136.87","137.52","1.03","0.9240","27,009,981"
"2019-09-13T07:00:00.000Z","137.78","138.06","136.57","137.32","-0.1454","-0.2500","23,363,057"
"2019-09-16T07:00:00.000Z","135.83","136.70","135.66","136.33","-0.7209","-0.8255","16,731,440"
"2019-09-17T07:00:00.000Z","136.96","137.52","136.43","137.39","0.7775","0.6730","17,976,285"
"2019-09-18T07:00:00.000Z","137.36","138.67","136.53","138.52","0.8225","0.7179","24,473,386"
"2019-09-19T07:00:00.000Z","140.30","142.37","140.07","141.07","1.84","1.74","36,095,413"
"2019-09-20T07:00:00.000Z","141.01","141.65","138.25","139.44","-1.16","-1.26","40,040,766"
"2019-09-23T07:00:00.000Z","139.23","139.63","138.44","139.14","-0.2151","-0.3197","17,408,374"
"2019-09-24T07:00:00.000Z","140.36","140.69","136.88","137.38","-1.26","-1.37","30,016,670"
"2019-09-25T07:00:00.000Z","137.50","139.96","136.03","139.36","1.44","1.34","22,544,054"
"2019-09-26T07:00:00.000Z","139.44","140.18","138.44","139.54","0.1292","0.0246","17,813,512"
"2019-09-27T07:00:00.000Z","140.15","140.36","136.65","137.73","-1.30","-1.40","22,498,958"
"2019-09-30T07:00:00.000Z","138.05","139.22","137.78","139.03","0.9439","0.8393","18,430,390"
"2019-10-01T07:00:00.000Z","139.66","140.25","137.00","137.07","-1.41","-1.51","22,581,929"
"2019-10-02T07:00:00.000Z","136.25","136.37","133.58","134.65","-1.77","-1.87","32,001,763"
"2019-10-03T07:00:00.000Z","134.95","136.75","133.22","136.28","1.21","1.11","26,379,798"
"2019-10-04T07:00:00.000Z","136.75","138.25","136.42","138.12","1.35","1.25","23,839,548"
"2019-10-07T07:00:00.000Z","137.14","138.18","137.02","137.12","-0.7240","-0.8286","16,601,284"
"2019-10-08T07:00:00.000Z","137.08","137.76","135.62","135.67","-1.06","-1.16","26,783,336"
"2019-10-09T07:00:00.000Z","137.46","138.70","136.97","138.24","1.89","1.79","20,178,482"
"2019-10-10T07:00:00.000Z","138.49","139.67","138.25","139.10","0.6221","0.5176","18,396,605"
"2019-10-11T07:00:00.000Z","140.12","141.03","139.50","139.68","0.4170","0.3124","25,551,065"
"2019-10-14T07:00:00.000Z","139.69","140.29","139.52","139.55","-0.0931","-0.1976","13,591,639"
"2019-10-15T07:00:00.000Z","140.06","141.79","139.81","141.57","1.45","1.35","19,917,762"
"2019-10-16T07:00:00.000Z","140.79","140.99","139.53","140.41","-0.8229","-0.9274","20,841,687"
"2019-10-17T07:00:00.000Z","140.95","141.42","139.02","139.69","-0.5128","-0.6173","22,102,797"
"2019-10-18T07:00:00.000Z","139.76","140.00","136.56","137.41","-1.63","-1.74","32,284,428"
"2019-10-21T07:00:00.000Z","138.45","138.50","137.01","138.43","0.7423","0.6378","20,716,039"
"2019-10-22T07:00:00.000Z","138.97","140.01","136.26","136.37","-1.49","-1.59","27,935,270"
"2019-10-23T07:00:00.000Z","136.88","137.45","135.61","137.24","0.6380","0.5334","31,380,309"
"2019-10-24T07:00:00.000Z","139.39","140.42","138.67","139.94","1.97","1.86","37,278,399"
"2019-10-25T07:00:00.000Z","139.34","141.14","139.20","140.73","0.5645","0.4600","25,959,724"
"2019-10-28T07:00:00.000Z","144.40","145.67","143.51","144.19","2.46","2.35","35,280,137"
"2019-10-29T07:00:00.000Z","144.08","144.50","142.65","142.83","-0.9432","-1.05","20,589,469"
"2019-10-30T07:00:00.000Z","143.52","145.00","142.79","144.61","1.25","1.14","18,496,591"
"2019-10-31T07:00:00.000Z","144.90","144.93","142.99","143.37","-0.8575","-0.9620","24,605,135"
"2019-11-01T07:00:00.000Z","144.26","144.42","142.97","143.72","0.2441","0.1396","33,128,366"
"2019-11-04T08:00:00.000Z","144.83","145.00","144.16","144.55","0.5775","0.4730","16,911,999"
"2019-11-05T08:00:00.000Z","144.97","145.02","143.91","144.46","-0.0623","-0.1668","18,250,172"
"2019-11-06T08:00:00.000Z","144.37","144.52","143.20","144.06","-0.2769","-0.3814","16,575,798"
"2019-11-07T08:00:00.000Z","143.84","144.88","143.77","144.26","0.1388","0.0343","17,786,715"
"2019-11-08T08:00:00.000Z","143.98","145.99","143.76","145.96","1.18","1.07","16,752,939"
"2019-11-11T08:00:00.000Z","145.34","146.42","144.73","146.11","0.1028","-0.0018","14,370,178"
"2019-11-12T08:00:00.000Z","146.28","147.57","146.06","147.07","0.6570","0.5525","18,648,712"
"2019-11-13T08:00:00.000Z","146.74","147.46","146.28","147.31","0.1632","0.0586","17,444,230"
"2019-11-14T08:00:00.000Z","147.02","148.41","147.00","148.06","0.5091","0.4046","19,755,100"
"2019-11-15T08:00:00.000Z","148.93","149.99","148.27","149.97","1.29","1.19","23,508,807"
"2019-11-18T08:00:00.000Z","150.07","150.55","148.98","150.34","0.2467","0.1422","21,554,762"
"2019-11-19T08:00:00.000Z","150.88","151.33","150.19","150.39","0.0333","-0.0713","23,960,164"
"2019-11-20T08:00:00.000Z","150.31","150.84","148.46","149.62","-0.5120","-0.6166","25,720,060"
"2019-11-21T08:00:00.000Z","149.40","149.80","148.50","149.48","-0.0936","-0.1981","18,576,083"
"2019-11-22T08:00:00.000Z","150.07","150.30","148.82","149.59","0.0736","-0.0310","15,841,680"
"2019-11-25T08:00:00.000Z","150.00","151.35","149.92","151.23","1.10","0.9918","22,428,585"
"2019-11-26T08:00:00.000Z","151.36","152.42","151.32","152.03","0.5290","0.4244","24,635,100"
"2019-11-27T08:00:00.000Z","152.33","152.50","151.52","152.32","0.1908","0.0862","15,201,293"
"2019-11-29T08:00:00.000Z","152.10","152.30","151.28","151.38","-0.6171","-0.7217","11,977,300"
"2019-12-02T08:00:00.000Z","151.81","151.83","148.32","149.55","-1.21","-1.31","27,473,616"
"2019-12-03T08:00:00.000Z","147.49","149.43","146.65","149.31","-0.1605","-0.2650","25,192,145"
"2019-12-04T08:00:00.000Z","150.14","150.18","149.20","149.85","0.3617","0.2571","17,580,617"
"2019-12-05T08:00:00.000Z","150.05","150.32","149.48","149.93","0.0534","-0.0512","17,880,601"
"2019-12-06T08:00:00.000Z","150.99","151.87","150.27","151.75","1.21","1.11","16,410,400"
"2019-12-09T08:00:00.000Z","151.07","152.21","150.91","151.36","-0.2570","-0.3616","16,741,350"
"2019-12-10T08:00:00.000Z","151.29","151.89","150.76","151.13","-0.1520","-0.2565","16,481,060"
"2019-12-11T08:00:00.000Z","151.54","151.87","150.33","151.70","0.3772","0.2726","18,860,001"
"2019-12-12T08:00:00.000Z","151.65","153.44","151.02","153.24","1.02","0.9106","24,645,366"
"2019-12-13T08:00:00.000Z","153.00","154.89","152.83","154.53","0.8418","0.7373","23,850,062"
"2019-12-16T08:00:00.000Z","155.11","155.90","154.82","155.53","0.6471","0.5426","24,152,770"
"2019-12-17T08:00:00.000Z","155.45","155.71","154.45","154.69","-0.5401","-0.6446","25,443,527"
"2019-12-18T08:00:00.000Z","154.30","155.48","154.18","154.37","-0.2069","-0.3114","24,132,379"
"2019-12-19T08:00:00.000Z","154.00","155.77","153.75","155.71","0.8680","0.7635","25,813,825"
"2019-12-20T08:00:00.000Z","157.35","158.49","156.29","157.41","1.09","0.9872","53,599,613"
"2019-12-23T08:00:00.000Z","158.12","158.12","157.27","157.41","","-0.1046","17,726,283"
"2019-12-24T08:00:00.000Z","157.48","157.71","157.12","157.38","-0.0191","-0.1236","8,989,150"
"2019-12-26T08:00:00.000Z","157.56","158.73","157.40","158.67","0.8197","0.7151","14,526,927"
"2019-12-27T08:00:00.000Z","159.45","159.55","158.22","158.96","0.1828","0.0782","18,414,352"
"2019-12-30T08:00:00.000Z","158.99","159.02","156.73","157.59","-0.8619","-0.9664","16,356,720"
"2019-12-31T08:00:00.000Z","156.77","157.77","156.45","157.70","0.0698","-0.0347","18,393,383"
"2020-01-02T08:00:00.000Z","158.78","160.73","158.33","160.62","1.85","1.75","22,634,546"
"2020-01-03T08:00:00.000Z","158.32","159.94","158.06","158.62","-1.25","-1.35","21,121,681"
"2020-01-06T08:00:00.000Z","157.08","159.10","156.51","159.03","0.2585","0.1539","20,826,702"
"2020-01-07T08:00:00.000Z","159.32","159.67","157.32","157.58","-0.9118","-1.02","21,881,740"
"2020-01-08T08:00:00.000Z","158.93","160.80","157.95","160.09","1.59","1.49","27,762,026"
"2020-01-09T08:00:00.000Z","161.84","162.22","161.03","162.09","1.25","1.14","21,399,951"
