"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","290.82","293.90","288.06","289.29","-1.52","-1.63","3,684,177"
"2019-09-04T07:00:00.000Z","291.25","292.38","286.51","291.52","0.7709","0.6619","4,653,665"
"2019-09-05T07:00:00.000Z","285.32","293.97","282.79","293.25","0.5934","0.4845","8,972,356"
"2019-09-06T07:00:00.000Z","293.35","293.35","287.03","290.17","-1.05","-1.16","5,166,556"
"2019-09-09T07:00:00.000Z","294.81","301.55","290.60","294.34","1.44","1.33","8,232,744"
"2019-09-10T07:00:00.000Z","291.16","297.17","282.66","287.99","-2.16","-2.27","12,320,248"
"2019-09-11T07:00:00.000Z","285.70","292.65","284.61","288.27","0.0972","-0.0117","7,405,949"
"2019-09-12T07:00:00.000Z","288.10","292.73","286.60","288.86","0.2047","0.0957","5,010,927"
"2019-09-13T07:00:00.000Z","290.61","296.62","290.04","294.15","1.83","1.72","6,583,124"
"2019-09-16T07:00:00.000Z","294.23","297.43","289.78","294.29","0.0476","-0.0614","5,307,386"
"2019-09-17T07:00:00.000Z","294.50","299.15","291.79","298.60","1.46","1.36","4,817,119"
"2019-09-18T07:00:00.000Z","294.99","296.05","287.45","291.56","-2.36","-2.47","7,841,539"
"2019-09-19T07:00:00.000Z","291.56","293.81","283.40","286.60","-1.70","-1.81","8,545,761"
"2019-09-20T07:00:00.000Z","280.26","282.50","266.00","270.75","-5.53","-5.64","23,954,192"
"2019-09-23T07:00:00.000Z","268.35","273.39","261.89","265.92","-1.78","-1.89","13,610,294"
"2019-09-24T07:00:00.000Z","262.50","265.00","252.28","254.59","-4.26","-4.37","16,392,808"
"2019-09-25T07:00:00.000Z","255.71","266.60","253.70","264.75","3.99","3.88","11,846,748"
"2019-09-26T07:00:00.000Z","266.42","268.05","260.20","263.31","-0.5439","-0.6529","7,696,858"
"2019-09-27T07:00:00.000Z","266.18","267.44","260.39","263.08","-0.0873","-0.1963","7,367,491"
"2019-09-30T07:00:00.000Z","264.00","268.88","262.78","267.62","1.73","1.62","6,823,100"
"2019-10-01T07:00:00.000Z","267.35","272.20","264.03","269.58","0.7324","0.6234","8,786,284"
"2019-10-02T07:00:00.000Z","263.61","269.35","262.19","268.03","-0.5750","-0.6839","7,773,299"
"2019-10-03T07:00:00.000Z","267.78","268.84","257.01","268.15","0.0448","-0.0642","9,068,810"
"2019-10-04T07:00:00.000Z","268.20","275.48","266.47","272.79","1.73","1.62","9,992,774"
"2019-10-07T07:00:00.000Z","271.99","276.68","271.28","274.46","0.6122","0.5032","6,796,811"
"2019-10-08T07:00:00.000Z","273.03","275.53","270.64","270.72","-1.36","-1.47","6,302,269"
"2019-10-09T07:00:00.000Z","270.02","271.00","264.57","267.53","-1.18","-1.29","6,843,488"
"2019-10-10T07:00:00.000Z","265.97","280.53","265.03","280.48","4.84","4.73","10,961,191"
"2019-10-11T07:00:00.000Z","284.80","287.87","282.34","282.93","0.8735","0.7645","8,817,301"
"2019-10-14T07:00:00.000Z","283.93","286.93","282.00","285.53","0.9190","0.8100","5,543,120"
"2019-10-15T07:00:00.000Z","283.82","285.87","279.40","284.25","-0.4483","-0.5573","7,728,161"
"2019-10-16T07:00:00.000Z","283.12","288.17","280.74","286.28","0.7142","0.6052","18,413,335"
