"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2019-09-03T07:00:00.000Z","4.11","4.15","4.08","4.10","-1.99","-2.31","296,510,800"
"2019-09-04T07:00:00.000Z","4.17","4.23","4.17","4.22","2.80","2.48","228,120,360"
"2019-09-05T07:00:00.000Z","4.32","4.50","4.32","4.49","6.51","6.19","696,485,000"
"2019-09-06T07:00:00.000Z","4.47","4.53","4.43","4.47","-0.6053","-0.9188","376,976,760"
"2019-09-09T07:00:00.000Z","4.50","4.60","4.50","4.51","1.03","0.7210","417,525,320"
"2019-09-10T07:00:00.000Z","4.48","4.61","4.47","4.58","1.48","1.17","352,812,200"
"2019-09-11T07:00:00.000Z","4.59","4.66","4.57","4.61","0.6267","0.3133","361,511,280"
"2019-09-12T07:00:00.000Z","4.66","4.71","4.60","4.61","-0.0326","-0.3460","327,841,000"
"2019-09-13T07:00:00.000Z","4.54","4.58","4.50","4.55","-1.26","-1.58","324,591,480"
"2019-09-16T07:00:00.000Z","4.47","4.54","4.46","4.51","-0.9498","-1.26","231,831,840"
"2019-09-17T07:00:00.000Z","4.51","4.53","4.47","4.53","0.4750","0.1616","228,473,120"
"2019-09-18T07:00:00.000Z","4.52","4.54","4.41","4.50","-0.6009","-0.9143","264,037,680"
"2019-09-19T07:00:00.000Z","4.51","4.52","4.41","4.42","-1.69","-2.00","256,342,760"
"2019-09-20T07:00:00.000Z","4.42","4.45","4.31","4.32","-2.40","-2.72","357,251,800"
"2019-09-23T07:00:00.000Z","4.32","4.42","4.31","4.37","1.25","0.9327","255,825,880"
"2019-09-24T07:00:00.000Z","4.40","4.43","4.28","4.31","-1.32","-1.63","321,241,800"
"2019-09-25T07:00:00.000Z","4.31","4.48","4.27","4.46","3.30","2.99","313,106,880"
"2019-09-26T07:00:00.000Z","4.45","4.45","4.38","4.43","-0.5005","-0.8139","237,825,920"
"2019-09-27T07:00:00.000Z","4.39","4.44","4.23","4.29","-3.15","-3.46","365,958,960"
"2019-09-30T07:00:00.000Z","4.32","4.36","4.29","4.35","1.35","1.03","193,199,080"
"2019-10-01T07:00:00.000Z","4.38","4.53","4.35","4.35","-0.0414","-0.3548","367,566,000"
"2019-10-02T07:00:00.000Z","4.33","4.34","4.25","4.33","-0.5517","-0.8652","295,661,760"
"2019-10-03T07:00:00.000Z","4.33","4.54","4.30","4.53","4.78","4.47","462,730,600"
"2019-10-04T07:00:00.000Z","4.54","4.58","4.47","4.55","0.3618","0.0484","267,960,200"
"2019-10-07T07:00:00.000Z","4.61","4.71","4.61","4.61","1.30","0.9835","488,313,560"
"2019-10-08T07:00:00.000Z","4.52","4.52","4.41","4.43","-3.85","-4.17","449,342,640"
"2019-10-09T07:00:00.000Z","4.51","4.57","4.48","4.52","1.97","1.65","307,883,280"
"2019-10-10T07:00:00.000Z","4.52","4.63","4.51","4.58","1.28","0.9704","327,515,560"
"2019-10-11T07:00:00.000Z","4.66","4.73","4.64","4.65","1.62","1.30","450,866,720"
"2019-10-14T07:00:00.000Z","4.64","4.68","4.61","4.66","0.2882","-0.0253","210,335,760"
"2019-10-15T07:00:00.000Z","4.75","4.98","4.74","4.91","5.28","4.96","667,985,320"
"2019-10-16T07:00:00.000Z","4.88","4.98","4.84","4.86","-1.10","-1.42","432,753,120"
"2019-10-17T07:00:00.000Z","4.90","4.95","4.80","4.86","0.0412","-0.2722","264,316,960"
"2019-10-18T07:00:00.000Z","4.86","4.89","4.69","4.76","-1.96","-2.27","307,624,200"
"2019-10-21T07:00:00.000Z","4.82","4.91","4.80","4.90","2.90","2.58","266,967,240"
"2019-10-22T07:00:00.000Z","4.96","5.06","4.88","4.89","-0.2041","-0.5175","337,369,120"
"2019-10-23T07:00:00.000Z","4.81","4.89","4.78","4.88","-0.2638","-0.5772","285,770,000"
"2019-10-24T07:00:00.000Z","4.92","4.96","4.88","4.92","0.9062","0.5928","239,037,320"
"2019-10-25T07:00:00.000Z","5.00","5.13","4.99","5.11","3.90","3.59","423,091,520"
"2019-10-28T07:00:00.000Z","5.16","5.22","5.13","5.17","1.10","0.7856","330,791,640"
"2019-10-29T07:00:00.000Z","5.16","5.16","5.05","5.07","-1.87","-2.18","211,236,800"
"2019-10-30T07:00:00.000Z","5.10","5.11","5.01","5.08","0.0394","-0.2740","205,961,520"
"2019-10-31T07:00:00.000Z","5.05","5.08","4.95","5.03","-0.9754","-1.29","209,732,600"
"2019-11-01T07:00:00.000Z","4.99","5.10","4.96","5.06","0.7820","0.4686","283,638,240"
"2019-11-04T08:00:00.000Z","5.15","5.28","5.12","5.26","3.90","3.59","376,716,200"
"2019-11-05T08:00:00.000Z","5.26","5.29","5.19","5.24","-0.4219","-0.7353","300,868,480"
"2019-11-06T08:00:00.000Z","5.22","5.24","5.10","5.19","-0.9465","-1.26","269,013,400"
"2019-11-07T08:00:00.000Z","5.28","5.29","5.16","5.21","0.3429","0.0295","280,339,920"
"2019-11-08T08:00:00.000Z","5.19","5.23","5.15","5.19","-0.2688","-0.5822","189,407,480"
"2019-11-11T08:00:00.000Z","5.19","5.23","5.11","5.20","0.1925","-0.1209","243,789,440"
"2019-11-12T08:00:00.000Z","5.24","5.30","5.21","5.24","0.6879","0.3744","283,838,840"
"2019-11-13T08:00:00.000Z","5.21","5.24","5.15","5.21","-0.4981","-0.8115","302,364,960"
"2019-11-14T08:00:00.000Z","5.22","5.25","5.16","5.24","0.5849","0.2715","527,006,840"
"2019-11-15T08:00:00.000Z","5.24","5.29","5.02","5.10","-2.67","-2.98","1,054,216,360"
"2019-11-18T08:00:00.000Z","5.10","5.33","5.09","5.31","3.96","3.65","575,318,520"
"2019-11-19T08:00:00.000Z","5.28","5.30","5.14","5.20","-2.02","-2.34","415,380,240"
"2019-11-20T08:00:00.000Z","5.18","5.36","5.16","5.28","1.53","1.22","473,017,520"
"2019-11-21T08:00:00.000Z","5.28","5.33","5.23","5.25","-0.4735","-0.7870","288,389,200"
"2019-11-22T08:00:00.000Z","5.28","5.32","5.25","5.27","0.3369","0.0234","224,098,800"
"2019-11-25T08:00:00.000Z","5.40","5.54","5.39","5.53","4.90","4.58","507,347,440"
"2019-11-26T08:00:00.000Z","5.51","5.52","5.42","5.42","-1.90","-2.22","385,680,920"
"2019-11-27T08:00:00.000Z","5.47","5.50","5.43","5.46","0.5714","0.2580","216,428,720"
"2019-11-29T08:00:00.000Z","5.42","5.45","5.39","5.42","-0.6873","-1.00","141,556,960"
"2019-12-02T08:00:00.000Z","5.41","5.42","5.22","5.23","-3.45","-3.77","373,869,680"
"2019-12-03T08:00:00.000Z","5.05","5.20","5.01","5.19","-0.7608","-1.07","474,146,120"
"2019-12-04T08:00:00.000Z","5.28","5.30","5.21","5.24","0.8475","0.5341","273,618,360"
"2019-12-05T08:00:00.000Z","5.26","5.27","5.19","5.22","-0.3247","-0.6381","185,137,760"
"2019-12-06T08:00:00.000Z","5.29","5.34","5.28","5.30","1.64","1.33","232,418,280"
"2019-12-09T08:00:00.000Z","5.28","5.36","5.27","5.30","","-0.3134","215,132,800"
"2019-12-10T08:00:00.000Z","5.33","5.40","5.28","5.35","0.8540","0.5406","256,689,120"
"2019-12-11T08:00:00.000Z","5.36","5.44","5.36","5.43","1.57","1.26","234,009,880"
"2019-12-12T08:00:00.000Z","5.40","5.62","5.40","5.60","3.10","2.78","406,083,360"
"2019-12-13T08:00:00.000Z","5.60","5.72","5.55","5.60","-0.0357","-0.3491","454,967,320"
"2019-12-16T08:00:00.000Z","5.65","5.70","5.62","5.63","0.5179","0.2044","321,307,360"
"2019-12-17T08:00:00.000Z","5.65","5.73","5.64","5.71","1.39","1.08","323,263,920"
"2019-12-18T08:00:00.000Z","5.74","5.80","5.73","5.74","0.5344","0.2210","344,278,760"
"2019-12-19T08:00:00.000Z","5.77","5.90","5.77","5.89","2.59","2.28","453,106,960"
"2019-12-20T08:00:00.000Z","5.95","6.01","5.93","5.98","1.66","1.35","603,384,280"
"2019-12-23T08:00:00.000Z","6.01","6.05","5.96","5.97","-0.2306","-0.5440","355,392,600"
"2019-12-24T08:00:00.000Z","5.96","5.98","5.92","5.97","-0.0837","-0.3972","138,863,880"
"2019-12-26T08:00:00.000Z","5.97","6.01","5.95","5.98","0.2397","-0.0737","183,218,040"
"2019-12-27T08:00:00.000Z","6.00","6.01","5.90","5.92","-0.9699","-1.28","254,810,040"
"2019-12-30T08:00:00.000Z","5.90","5.91","5.78","5.81","-1.92","-2.24","258,247,120"
"2019-12-31T08:00:00.000Z","5.77","5.89","5.75","5.88","1.28","0.9693","231,211,320"
"2020-01-02T08:00:00.000Z","5.97","6.00","5.92","6.00","1.96","1.64","237,678,760"
"2020-01-03T08:00:00.000Z","5.88","5.95","5.85","5.90","-1.60","-1.91","205,772,320"
"2020-01-06T08:00:00.000Z","5.81","5.93","5.78","5.93","0.4202","0.1068","262,912,480"
"2020-01-07T08:00:00.000Z","5.96","6.04","5.91","6.00","1.21","0.8981","319,205,760"
